,Episode End Value,action,Nepse Data,Stock price,Normal Investor 
282,12598.0326437028,1,1414.78,735.153874825905,11028.9213778631
283,12869.2544615998,1,1390.58,722.558434366295,10839.9621309551
284,12733.6435526513,1,1434.8,738.512658948468,11079.3105103719
285,12590.8952274424,1,1437.24,730.535546657382,10959.6363206635
286,12662.2693900468,1,1416.61,722.138586350975,10833.6634893915
287,13318.9116860078,1,1423.83,726.337066504178,10896.6499050275
288,13697.1947478115,1,1431.8,764.963083913649,11476.1249288787
289,13725.7444128532,1,1443.8,787.215028725627,11809.9529317495
290,13311.7742697474,1,1456.07,788.894420786908,11835.1474980039
291,13061.9647006318,0,1440.29,764.543235898329,11469.8262873151
292,13061.9647006318,1,1431.1,749.848555362117,11249.3738325891
293,13061.9647006318,2,1413.71,755.306579561281,11331.2561729159
294,12969.178289246,1,1406.52,751.527947423398,11274.5683988435
295,12933.4912079438,1,1402.67,746.069923224234,11192.6860585167
296,13019.1402030691,1,1402.09,743.970683147632,11161.1928506987
297,12919.2163754229,1,1393.04,749.008859331476,11236.7765494619
298,13040.5524518505,1,1394.73,743.130987116992,11148.5955675715
299,13012.0027868087,1,1404.53,750.268403377437,11255.6724741527
300,13061.9647006318,1,1405.95,748.589011316156,11230.4779078983
301,13133.3388632363,1,1402.23,751.527947423398,11274.5683988435
302,13097.651781934,1,1404.49,755.726427576602,11337.5548144795
303,13033.41503559,1,1411.52,753.6271875,11306.0616066615
304,12847.8422128184,1,1410.51,749.848555362117,11249.3738325891
305,12919.2163754229,1,1400.05,738.932506963788,11085.6091519355
306,12847.8422128184,0,1394.03,743.130987116992,11148.5955675715
307,12847.8422128184,1,1382.02,738.932506963788,11085.6091519355
308,12847.8422128184,1,1391.03,743.970683147632,11161.1928506987
309,12847.8422128184,1,1384.71,745.230227193593,11180.0887753895
310,12847.8422128184,1,1380.29,747.329467270195,11211.5819832075
311,12847.8422128184,1,1388.94,747.329467270195,11211.5819832075
312,12847.8422128184,1,1424.95,765.80277994429,11488.7222120059
313,12847.8422128184,1,1413.9,751.947795438719,11280.8670404071
314,12847.8422128184,1,1396.72,745.230227193593,11180.0887753895
315,12847.8422128184,1,1387.08,743.970683147632,11161.1928506987
316,12847.8422128184,1,1386.98,739.772202994429,11098.2064350627
317,12847.8422128184,1,1374.73,740.192051009749,11104.5050766263
318,12847.8422128184,1,1358.95,749.008859331476,11236.7765494619
319,12847.8422128184,0,1364.81,751.527947423398,11274.5683988435
320,12847.8422128184,1,1345.99,745.230227193593,11180.0887753895
321,12847.8422128184,1,1304.43,721.718738335655,10827.3648478279
322,12847.8422128184,1,1287.74,722.978282381616,10846.2607725187
323,12847.8422128184,1,1296.44,729.276002611421,10940.7403959727
324,12847.8422128184,1,1315.13,747.329467270195,11211.5819832075
325,12847.8422128184,2,1284.09,722.138586350975,10833.6634893915
326,12812.1551315162,1,1277.01,724.237826427577,10865.1566972095
