,Episode End Value,action,Nepse Data,Stock price
740,25976.0,1,1305.49,729.0
741,26081.0,1,1313.88,728.0
742,25591.0,1,1319.47,731.0
743,25521.0,1,1305.68,717.0
744,25346.0,1,1292.84,715.0
745,25451.0,1,1289.28,710.0
746,25171.0,1,1284.59,713.0
747,24996.0,1,1275.81,705.0
748,25101.0,1,1275.98,700.0
749,24996.0,1,1272.49,703.0
750,24786.0,1,1269.56,700.0
751,24821.0,1,1258.27,694.0
752,24646.0,1,1260.9,695.0
753,24786.0,1,1258.67,690.0
754,24961.0,1,1258.47,694.0
755,24996.0,1,1261.07,699.0
756,25101.0,1,1258.29,700.0
757,25066.0,1,1257.16,703.0
758,24926.0,1,1244.89,702.0
759,24786.0,1,1242.04,698.0
760,24996.0,1,1253.06,694.0
761,24926.0,1,1268.68,700.0
762,24891.0,1,1260.47,698.0
763,24751.0,2,1256.05,697.0
764,24786.0,2,1247.35,693.0
765,24506.0,2,1250.27,694.0
766,24401.0,2,1249.15,686.0
767,24471.0,2,1248.53,683.0
768,24646.0,2,1249.49,685.0
769,24751.0,2,1254.57,690.0
770,24856.0,1,1259.02,693.0
771,24751.0,2,1274.86,696.0
772,24926.0,2,1272.5,693.0
773,24961.0,2,1268.75,698.0
774,24891.0,2,1271.23,699.0
775,24961.0,2,1277.17,697.0
776,24821.0,2,1284.07,699.0
777,24681.0,2,1269.92,695.0
778,24751.0,2,1252.81,691.0
779,24821.0,1,1255.99,693.0
780,24926.0,1,1259.38,695.0
781,24786.0,1,1265.58,698.0
782,24821.0,2,1263.84,694.0
783,24681.0,1,1259.64,695.0
784,24681.0,1,1255.1,691.0
785,24716.0,1,1245.73,691.0
786,24541.0,1,1248.49,692.0
787,24611.0,1,1238.56,687.0
788,24611.0,1,1233.72,689.0
789,24471.0,1,1233.85,689.0
790,24506.0,1,1231.07,685.0
791,24261.0,1,1225.9,686.0
792,23806.0,1,1224.04,679.0
793,23946.0,1,1214.84,666.0
794,23771.0,1,1222.07,670.0
795,23911.0,1,1213.64,665.0
796,24086.0,0,1214.06,669.0
797,24086.0,0,1213.07,674.0
798,24086.0,0,1209.62,675.0
799,24086.0,2,1203.13,670.0
800,23911.0,2,1208.01,670.0
801,23981.0,2,1197.75,665.0
802,23841.0,2,1196.42,667.0
803,23666.0,2,1184.79,663.0
804,23561.0,2,1170.34,658.0
805,23491.0,2,1190.91,655.0
806,23421.0,2,1194.77,653.0
807,23001.0,2,1191.07,651.0
808,22756.0,2,1178.46,639.0
809,22684.0,2,1168.92,632.0
810,22648.0,2,1166.67,630.0
811,22540.0,2,1163.21,629.0
812,22468.0,2,1157.89,626.0
813,21820.0,2,1140.02,624.0
814,22576.0,2,1123.84,606.0
815,22792.0,2,1150.74,627.0
816,22216.0,2,1173.43,633.0
817,22504.0,2,1155.3,617.0
818,22612.0,2,1139.26,625.0
819,22396.0,2,1140.99,628.0
820,22576.0,2,1134.57,622.0
821,22576.0,2,1131.53,627.0
