,DeepRL Bot,action,Nepse Data,Stock price,Normal Investor,Date
335,25309.3265620544,0,1493.42,709.358388017118,18020.9324452916,2017-11-13
336,25309.3265620544,2,1484.45,702.616861626248,17849.6669838263,2017-11-14
337,24554.2756062769,0,1466.62,694.377218259629,17640.3425309243,2017-11-15
338,24554.2756062769,2,1460.73,673.403580599144,17107.5166508101,2017-11-16
339,24790.2290299574,0,1477.14,685.388516405136,17411.988582304,2017-11-19
340,24790.2290299574,2,1490.88,692.130042796006,17583.2540437693,2017-11-20
341,24790.2290299574,0,1516.02,715.350855920114,18173.1684110386,2017-11-21
342,24790.2290299574,2,1504.79,715.350855920114,18173.1684110386,2017-11-22
343,24501.8415121257,2,1489.06,704.864037089872,17906.7554709815,2017-11-23
344,23898.8494293867,0,1475.72,696.624393723253,17697.4310180794,2017-11-26
345,23898.8494293867,2,1469.16,679.39604850214,17259.752616557,2017-11-27
346,24344.539229672,0,1472.24,682.392282453638,17335.8705994305,2017-11-28
347,24344.539229672,2,1480.26,695.126276747504,17659.3720266427,2017-11-29
348,24528.0585592013,0,1493.29,695.126276747504,17659.3720266427,2017-11-30
349,24528.0585592013,1,1514.34,700.369686162625,17792.5784966713,2017-12-04
350,24528.0585592013,1,1513.74,694.377218259629,17640.3425309243,2017-12-05
351,24528.0585592013,0,1523.86,703.365920114123,17868.6964795447,2017-12-06
352,24528.0585592013,0,1536.12,703.365920114123,17868.6964795447,2017-12-10
353,24528.0585592013,0,1537.67,702.616861626248,17849.6669838263,2017-12-11
354,24528.0585592013,0,1526.77,695.126276747504,17659.3720266427,2017-12-12
355,24528.0585592013,0,1524.87,697.373452211127,17716.4605137978,2017-12-13
356,24528.0585592013,0,1536.54,696.624393723253,17697.4310180794,2017-12-14
357,24528.0585592013,2,1530.49,693.628159771755,17621.313035206,2017-12-17
358,24370.7562767476,0,1527.75,695.875335235378,17678.4015223611,2017-12-18
359,24370.7562767476,0,1510.21,691.380984308131,17564.2245480509,2017-12-19
360,24370.7562767476,0,1520.74,689.133808844508,17507.1360608958,2017-12-20
361,24370.7562767476,0,1520.15,691.380984308131,17564.2245480509,2017-12-21
362,24370.7562767476,0,1509.14,688.384750356633,17488.1065651774,2017-12-24
363,24370.7562767476,0,1508.25,691.380984308131,17564.2245480509,2017-12-26
364,24370.7562767476,0,1493.76,688.384750356633,17488.1065651774,2017-12-27
365,24370.7562767476,1,1484.47,688.384750356633,17488.1065651774,2017-12-28
366,24370.7562767476,0,1472.15,684.639457917261,17392.9590865856,2017-12-31
367,24370.7562767476,0,1467.68,685.388516405136,17411.988582304,2018-01-01
368,24370.7562767476,0,1447.04,682.392282453638,17335.8705994305,2018-01-02
369,24370.7562767476,0,1425.51,675.650756062768,17164.6051379652,2018-01-03
370,24370.7562767476,0,1414.78,649.433708987161,16498.5727878224,2018-01-04
371,24370.7562767476,0,1390.58,608.235492154066,15451.9505233124,2018-01-07
372,24370.7562767476,0,1434.8,635.201597717546,16137.0123691735,2018-01-08
373,24370.7562767476,0,1437.24,643.441241084166,16346.3368220755,2018-01-09
374,24370.7562767476,0,1416.61,629.209129814551,15984.7764034266,2018-01-10
375,24370.7562767476,0,1423.83,643.441241084166,16346.3368220755,2018-01-14
376,24370.7562767476,0,1431.8,644.19029957204,16365.3663177939,2018-01-16
377,24370.7562767476,0,1443.8,649.433708987161,16498.5727878224,2018-01-17
378,24370.7562767476,0,1456.07,649.433708987161,16498.5727878224,2018-01-21
379,24370.7562767476,0,1440.29,638.197831669044,16213.130352047,2018-01-22
380,24370.7562767476,0,1431.1,635.201597717546,16137.0123691735,2018-01-23
381,24370.7562767476,0,1413.71,614.227960057061,15604.1864890593,2018-01-24
382,24370.7562767476,0,1406.52,619.471369472183,15737.3929590878,2018-01-25
383,24370.7562767476,2,1402.67,619.471369472183,15737.3929590878,2018-01-28
384,24166.2633095579,0,1402.09,619.471369472183,15737.3929590878,2018-01-29
385,24166.2633095579,0,1393.04,614.227960057061,15604.1864890593,2018-01-31
386,24166.2633095579,0,1394.73,605.239258202568,15375.8325404389,2018-02-01
387,24166.2633095579,0,1404.53,617.973252496434,15699.3339676511,2018-02-04
388,24166.2633095579,0,1405.95,624.714778887304,15870.5994291164,2018-02-05
389,24166.2633095579,0,1402.23,626.961954350927,15927.6879162715,2018-02-06
390,24166.2633095578,2,1404.49,638.197831669044,16213.130352047,2018-02-07
391,24083.1178174038,0,1411.52,649.433708987161,16498.5727878224,2018-02-08
392,24083.1178174038,2,1410.51,647.186533523538,16441.4843006673,2018-02-11
393,23972.2571611984,0,1400.05,641.943124108417,16308.2778306388,2018-02-12
394,23972.2571611984,2,1394.03,638.946890156919,16232.1598477653,2018-02-14
395,23972.2571611984,0,1382.02,635.201597717546,16137.0123691735,2018-02-15
396,23972.2571611984,2,1391.03,635.201597717546,16137.0123691735,2018-02-18
397,23778.2510128389,0,1384.71,638.197831669044,16213.130352047,2018-02-20
398,23778.2510128389,2,1380.29,632.954422253923,16079.9238820184,2018-02-21
399,24581.9907703282,1,1388.94,636.699714693295,16175.0713606102,2018-02-22
400,24748.2817546364,2,1424.95,658.422410841655,16726.9267364428,2018-02-25
401,24471.1301141228,2,1413.9,662.916761768902,16841.103710753,2018-02-26
402,24360.2694579174,2,1396.72,655.426176890157,16650.8087535694,2018-02-27
403,24249.4088017119,1,1387.08,652.429942938659,16574.6907706959,2018-02-28
404,23833.6813409416,1,1386.98,649.433708987161,16498.5727878224,2018-03-04
405,23584.2448644794,2,1374.73,638.197831669044,16213.130352047,2018-03-05
406,23778.2510128389,2,1358.95,631.456305278174,16041.8648905817,2018-03-06
407,23611.9600285308,2,1364.81,636.699714693295,16175.0713606102,2018-03-07
408,23029.9415834523,2,1345.99,632.205363766049,16060.8943863001,2018-03-11
409,23057.6567475037,2,1304.43,616.475135520685,15661.2749762144,2018-03-12
410,23390.2387161199,2,1287.74,617.224194008559,15680.3044719327,2018-03-13
411,23611.9600285308,2,1296.44,626.212895863053,15908.6584205531,2018-03-14
412,23251.6628958632,2,1315.13,632.205363766049,16060.8943863001,2018-03-15
413,23223.9477318118,1,1284.09,622.467603423681,15813.5109419613,2018-03-18
414,22946.7960912982,1,1277.01,621.718544935806,15794.4814462429,2018-03-19
415,22946.7960912982,1,1281.9,614.227960057061,15604.1864890593,2018-03-20
416,22780.5051069901,1,1285.96,614.227960057061,15604.1864890593,2018-03-21
417,22835.9354350928,1,1288.36,609.733609129815,15490.0095147491,2018-03-22
418,22614.214122682,1,1278.96,611.231726105563,15528.0685061858,2018-03-26
419,22614.214122682,1,1270.52,605.239258202568,15375.8325404389,2018-03-27
420,21949.0501854495,1,1255.47,605.239258202568,15375.8325404389,2018-03-28
421,21727.3288730386,1,1231.07,587.261854493581,14919.1246431982,2018-03-29
422,20618.7223109844,1,1220.44,581.269386590585,14766.8886774512,2018-04-01
423,20923.5891155493,1,1168.55,551.307047075606,14005.7088487166,2018-04-02
424,21561.0378887305,1,1207.71,559.546690442225,14215.0333016186,2018-04-03
425,21616.4682168332,1,1204.81,576.775035663338,14652.711703141,2018-04-04
426,21062.1649358061,1,1220.29,578.273152639087,14690.7706945778,2018-04-05
427,21062.1649358061,1,1196.24,563.291982881598,14310.1807802105,2018-04-08
428,21173.0255920115,1,1192.96,563.291982881598,14310.1807802105,2018-04-09
429,21505.6075606278,1,1199,566.288216833096,14386.2987630839,2018-04-10
430,21616.4682168332,1,1226.45,575.276918687589,14614.6527117043,2018-04-11
431,22253.9169900144,1,1250.39,578.273152639087,14690.7706945778,2018-04-12
432,22143.056333809,1,1294.65,595.5014978602,15128.4490961002,2018-04-15
433,21976.7653495008,1,1287.78,592.505263908702,15052.3311132267,2018-04-16
434,22004.4805135522,1,1270.23,588.010912981455,14938.1541389165,2018-04-17
435,22032.1956776035,1,1273.33,588.75997146933,14957.1836346349,2018-04-18
436,22059.9108416549,1,1277.55,589.509029957204,14976.2131303532,2018-04-19
437,22198.4866619117,1,1280.15,590.258088445079,14995.2426260716,2018-04-22
438,22309.3473181171,1,1297.57,594.003380884451,15090.3901046634,2018-04-23
439,23168.5174037091,1,1331.18,596.999614835949,15166.5080875369,2018-04-24
440,23501.0993723254,1,1363.01,620.220427960057,15756.4224548062,2018-04-25
441,23722.8206847362,1,1388.31,629.209129814551,15984.7764034266,2018-04-26
442,23390.2387161199,1,1438.49,635.201597717546,16137.0123691735,2018-04-29
443,22974.5112553496,1,1410.85,626.212895863053,15908.6584205531,2018-05-02
444,23168.5174037091,0,1394.86,614.977018544936,15623.2159847777,2018-05-03
445,23168.5174037091,1,1386.47,620.220427960057,15756.4224548062,2018-05-06
446,23168.5174037091,1,1357.22,614.227960057061,15604.1864890593,2018-05-07
447,23168.5174037091,1,1349.01,603.741141226819,15337.7735490022,2018-05-08
