,"Episode End Value","action","Nepse Data","Stock price","Date","Normal Investor"
216,16734.4866666668,2,1587.56,438.056666666667,"2017-07-12",16336.633663365
217,16835.3724444445,2,1582.67,437.171703703704,"2017-07-13",16303.630363035
218,16969.8868148149,2,1583.57,439.826592592593,"2017-07-16",16402.6402640251
219,17373.429925926,2,1604.15,443.366444444444,"2017-07-17",16534.6534653451
220,17440.6871111112,2,1638.41,453.986,"2017-07-18",16930.6930693055
221,17373.429925926,2,1637.27,455.755925925926,"2017-07-19",16996.6996699656
222,17070.7725925927,2,1635.75,453.986,"2017-07-20",16930.6930693055
223,16835.3724444445,2,1635.56,446.021333333333,"2017-07-23",16633.6633663352
224,16936.2582222223,2,1629.08,439.826592592593,"2017-07-24",16402.6402640251
225,16801.7438518519,2,1636.19,442.481481481481,"2017-07-25",16501.6501650151
226,16835.3724444445,2,1645.03,438.94162962963,"2017-07-26",16369.636963695
227,16869.0010370371,2,1646.53,439.826592592593,"2017-07-27",16402.6402640251
228,16902.6296296297,2,1643.28,440.711555555556,"2017-07-30",16435.6435643551
229,16768.1152592593,2,1652.69,441.596518518519,"2017-07-31",16468.6468646851
230,16835.3724444445,2,1660.25,438.056666666667,"2017-08-01",16336.633663365
231,16869.0010370371,2,1662.74,439.826592592593,"2017-08-02",16402.6402640251
232,16768.1152592593,0,1660.58,440.711555555556,"2017-08-03",16435.6435643551
233,16768.1152592594,2,1665.05,438.056666666667,"2017-08-06",16336.633663365
234,16835.3724444445,2,1667.94,437.171703703704,"2017-08-07",16303.630363035
235,16768.1152592594,2,1661.72,438.94162962963,"2017-08-09",16369.636963695
236,16768.1152592594,2,1653.53,437.171703703704,"2017-08-10",16303.630363035
237,16633.600888889,2,1642.13,437.171703703704,"2017-08-13",16303.630363035
238,16768.1152592594,2,1629.16,433.631851851852,"2017-08-15",16171.6171617148
239,16768.1152592594,2,1632.66,437.171703703704,"2017-08-16",16303.630363035
240,16700.8580740742,2,1629.75,437.171703703704,"2017-08-17",16303.630363035
241,16734.4866666668,2,1617.97,435.401777777778,"2017-08-20",16237.6237623749
242,16734.4866666668,2,1611.57,436.286740740741,"2017-08-21",16270.6270627049
243,16734.4866666668,2,1614.05,436.286740740741,"2017-08-22",16270.6270627049
244,16801.743851852,2,1611.27,436.286740740741,"2017-08-23",16270.6270627049
245,16936.2582222223,2,1617.81,438.056666666667,"2017-08-24",16336.633663365
246,16768.1152592594,2,1622.32,441.596518518519,"2017-08-27",16468.6468646851
